GISJOIN,YEAR,REGION,REGIONA,DIVISION,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACE,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSA,CBSAA,CSA,CSAA,METDIV,METDIVA,NECTA,NECTAA,CNECTA,CNECTAA,NECTADIV,NECTADIVA,UA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELM,SDELMA,SDSEC,SDSECA,SDUNI,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,UEPE001,UEQE001,UEQE002,UEQE003,UEQE004,UEQE005,UEQE006,UEQE007,UEQE008,UEQE009,UEQE010,UEZE001,UEZE002,UEZE003,UGSE001,UGSE002,UGSE003,UGSE004,UGSE005,UGSE006,UGSE007,UGSE008,UGSE009,UGSE010,UGSE011,UGSE012,UGSE013,UGSE014,UGSE015,UGSE016,UGSE017,UGSE018,UGSE019,UGSE020,UGSE021,UGSE022,UGSE023,UGSE024,UGSE025,UG7E001,UG7E002,UG7E003,UG7E004,UG7E005,UG7E006,UG7E007,UG7E008,UILE001,UJAE001,UJ8E001,UJ8E002,UJ8E003,UJ8E004,UJ8E005,UJ8E006,UJ8E007,NAME_M,UEPM001,UEQM001,UEQM002,UEQM003,UEQM004,UEQM005,UEQM006,UEQM007,UEQM008,UEQM009,UEQM010,UEZM001,UEZM002,UEZM003,UGSM001,UGSM002,UGSM003,UGSM004,UGSM005,UGSM006,UGSM007,UGSM008,UGSM009,UGSM010,UGSM011,UGSM012,UGSM013,UGSM014,UGSM015,UGSM016,UGSM017,UGSM018,UGSM019,UGSM020,UGSM021,UGSM022,UGSM023,UGSM024,UGSM025,UG7M001,UG7M002,UG7M003,UG7M004,UG7M005,UG7M006,UG7M007,UG7M008,UILM001,UJAM001,UJ8M001,UJ8M002,UJ8M003,UJ8M004,UJ8M005,UJ8M006,UJ8M007
"G0100210","2009-2013",,,,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",43744,43744,37447,4358,152,108,0,1249,430,47,383,43744,40388,3356,29302,531,0,1,44,27,163,99,123,186,379,990,942,1375,1333,854,10209,1542,1390,3337,1991,2399,1124,161,102,43260,3790,4653,3151,2708,3008,1023,24927,0.4356,20701,34180,19878,19864,17824,2040,14,14302,"Chilton County, Alabama",0,0,500,145,45,48,24,478,156,59,125,0,0,0,127,169,24,6,50,32,107,64,83,93,136,219,225,275,268,202,651,256,205,391,328,359,227,79,87,171,717,768,660,748,667,341,1204,0.0208,924,172,548,549,593,378,19,563
"G0100230","2009-2013",,,,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",13687,13687,7621,5888,0,8,0,0,170,17,153,13687,13648,39,9603,209,0,18,0,16,42,18,67,120,85,274,216,408,651,257,3158,422,555,1191,764,708,337,79,8,13509,944,1960,746,667,1207,434,7551,0.4814,20323,11073,5487,5487,4713,774,0,5586,"Choctaw County, Alabama",0,0,11,118,18,13,18,18,118,22,115,0,34,34,54,89,18,22,18,20,41,23,44,65,40,81,70,121,148,95,290,113,144,184,148,167,102,42,9,103,256,404,207,213,327,289,496,0.0274,1319,56,295,295,290,179,18,307
"G0100250","2009-2013",,,,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",25573,25573,13798,11336,137,26,68,43,165,0,165,25573,25455,118,17239,221,43,5,0,0,33,44,36,163,194,210,593,599,1085,520,6356,893,892,1994,1431,1194,549,133,51,25287,3225,4191,983,1558,1770,586,12974,0.5205,18979,20090,10484,10484,8505,1979,0,9606,"Clarke County, Alabama",0,0,69,197,24,54,112,48,138,21,138,0,98,98,30,96,68,11,21,21,30,64,26,82,93,85,199,129,251,169,497,217,165,310,252,246,129,69,58,126,604,821,321,438,389,216,1078,0.0351,1368,133,567,567,556,374,21,558
"G0100270","2009-2013",,,,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",13703,13703,11240,2090,12,0,0,140,221,13,208,13703,13288,415,9631,110,0,0,0,0,20,4,0,256,202,310,304,446,347,263,3045,576,578,1477,806,578,241,35,33,13392,853,1687,1095,937,1321,706,6793,0.4322,18694,11005,5903,5893,5132,761,10,5102,"Clay County, Alabama",0,0,135,139,19,18,18,134,138,17,139,0,0,0,121,57,18,18,18,18,22,5,18,125,72,133,99,140,98,101,292,148,128,220,190,156,88,23,29,106,278,485,334,240,335,324,646,0.0210,1090,69,296,295,318,201,12,306
"G0100290","2009-2013",,,,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",14945,14945,14143,530,34,47,0,25,166,15,151,14945,14625,320,10215,164,0,0,0,0,19,16,22,215,53,333,426,575,379,246,3264,749,749,1419,664,461,290,102,69,14786,1444,1284,623,845,1581,671,8338,0.4346,19108,11820,6529,6529,5799,730,0,5291,"Cleburne County, Alabama",0,0,78,81,37,62,18,46,77,21,71,0,0,0,63,70,18,18,18,18,21,17,25,103,42,93,155,169,116,87,398,149,161,241,167,138,85,63,55,61,499,343,206,283,419,390,721,0.0233,1236,106,294,294,321,203,18,281
"G0100310","2009-2013",,,,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",50468,50468,38896,8563,419,732,0,320,1538,30,1508,50468,47251,3217,34017,554,0,0,0,19,103,45,156,483,574,488,942,1065,989,584,8266,1775,2259,4976,3076,4861,2174,404,224,49799,3696,5542,2643,2605,3048,1450,30815,0.4509,23380,39716,22824,21237,19596,1641,1587,16892,"Coffee County, Alabama",0,0,229,232,126,110,27,151,269,40,261,0,0,0,147,164,27,27,27,17,58,22,77,132,159,102,151,200,153,155,525,217,245,385,347,455,298,109,94,107,616,654,524,467,655,311,1028,0.0137,865,106,548,538,558,249,297,556
"G0100330","2009-2013",,,,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54456,54456,43672,8853,323,222,7,512,867,192,675,54456,53255,1201,37893,423,0,0,18,25,40,21,55,311,330,812,1025,1260,1302,647,10072,3027,2889,6102,2828,4328,1642,440,296,53934,4060,5591,2817,3412,4154,1402,32498,0.4385,21572,44170,23860,23830,21470,2360,30,20310,"Colbert County, Alabama",0,0,374,217,137,65,10,452,334,207,256,0,0,0,110,134,27,27,26,23,26,23,38,125,122,215,241,219,228,176,551,412,360,495,337,502,247,139,110,152,757,865,595,618,631,409,1300,0.0128,838,153,699,706,675,387,36,716
"G0100350","2009-2013",,,,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",13104,13104,6836,5856,68,8,0,0,336,0,336,13104,12913,191,8959,68,0,0,0,41,29,3,99,184,105,202,217,402,453,232,3435,470,398,1069,766,396,318,55,17,13040,1709,2555,1174,902,993,297,5410,0.5244,15605,10357,5055,5055,3802,1253,0,5302,"Conecuh County, Alabama",0,0,76,169,98,15,18,18,194,18,194,0,0,0,75,52,18,18,18,58,28,5,74,120,65,90,82,115,142,91,332,142,126,253,176,112,100,41,22,57,370,513,431,360,276,213,584,0.0374,1490,83,295,295,381,250,18,313
"G0100370","2009-2013",,,,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",11198,11198,7587,3424,8,0,0,10,169,0,169,11198,10969,229,8136,91,0,4,0,4,29,63,23,102,80,113,447,407,567,101,3059,413,459,995,382,439,304,29,25,10912,981,1299,755,813,1254,304,5506,0.4259,18493,9255,4867,4867,4005,862,0,4388,"Coosa County, Alabama",0,0,20,134,14,18,18,20,133,18,133,0,0,0,93,54,18,6,18,13,25,38,23,56,58,68,136,109,130,51,313,103,131,167,126,130,107,26,35,105,216,318,254,307,390,130,409,0.0226,1009,86,308,308,339,227,18,302
"G0100390","2009-2013",,,,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",37847,37847,31992,4799,201,128,26,213,488,91,397,37847,37303,544,26292,422,43,2,12,24,79,53,221,279,487,501,1137,1060,964,405,7201,1806,1698,3961,2210,2433,978,190,126,37238,2908,4538,2738,2532,3435,973,20114,0.4568,20391,30575,16772,16765,14928,1837,7,13803,"Covington County, Alabama",0,0,117,119,79,86,40,139,185,91,161,0,0,0,74,95,60,4,19,27,56,32,81,125,133,117,239,232,155,125,475,208,264,300,283,227,161,71,110,184,502,590,549,491,586,263,888,0.0185,920,117,398,399,450,266,10,404
"G0100410","2009-2013",,,,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13955,13955,10131,3172,62,203,0,64,323,0,323,13955,13724,231,9536,215,0,0,0,13,32,6,25,209,219,224,276,411,278,311,3026,593,544,1249,698,772,366,33,36,13754,852,1769,924,992,845,390,7982,0.4828,21343,11060,6303,6276,5678,598,27,4757,"Crenshaw County, Alabama",0,0,22,184,41,24,18,72,155,18,155,0,0,0,85,56,18,18,18,18,23,10,21,75,73,93,84,115,76,97,262,124,133,186,159,130,95,27,26,124,264,335,315,272,211,164,498,0.0343,1489,61,303,300,307,129,18,305
"G0100430","2009-2013",,,,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",80499,80499,77157,917,304,394,44,635,1048,113,935,80499,77048,3451,55151,693,0,29,119,74,140,135,139,553,739,1529,2295,2149,1515,1057,14412,3055,3709,9172,5501,5047,2082,739,268,79386,5735,9168,5333,5045,6976,2160,44969,0.4489,20760,64193,36613,36592,33043,3549,21,27580,"Cullman County, Alabama",0,0,324,172,139,26,44,294,189,91,165,0,0,0,92,171,27,32,116,58,73,84,57,167,195,285,378,394,224,214,677,342,386,581,451,481,277,205,102,230,954,1173,774,763,1150,591,1582,0.0140,547,209,781,781,825,446,22,805
"G0100450","2009-2013",,,,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",50102,50102,37616,9690,194,633,45,431,1493,99,1394,50102,47257,2845,33127,437,17,0,0,15,92,114,140,245,270,546,599,1031,1255,493,7919,2270,2563,6001,3498,3745,1522,284,71,48659,3336,5112,2601,3029,2931,1335,30315,0.4434,22685,39477,24071,21659,19406,2253,2412,15406,"Dale County, Alabama",0,0,393,245,64,101,35,294,283,73,281,0,0,0,104,105,24,24,24,20,59,128,57,84,89,135,129,174,216,117,438,200,301,399,345,411,223,92,41,237,564,733,471,682,514,333,998,0.0237,1118,167,589,632,661,317,245,612
"G0100470","2009-2013",,,,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",43091,43091,12600,29630,42,152,19,98,550,6,544,43091,42751,340,27847,750,0,14,0,42,21,19,90,256,157,557,713,1586,1382,665,8828,1134,1731,3945,2002,2470,1144,210,131,42653,7175,7968,3215,2761,3343,1115,17076,0.5268,17245,33028,17433,17415,13931,3484,18,15595,"Dallas County, Alabama",0,0,122,320,67,45,31,126,281,9,281,0,0,0,68,178,24,19,24,59,25,21,65,115,70,167,163,235,272,156,672,208,279,442,332,349,192,79,67,128,985,1008,781,643,871,303,1030,0.0182,989,153,560,560,575,415,21,567
"G0100490","2009-2013",,,,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",71076,71076,64749,1293,944,239,5,1956,1890,184,1706,71076,61286,9790,46996,1300,3,42,92,152,290,356,411,1105,672,1557,1970,2904,2261,703,13656,2773,2475,5406,3835,3028,1641,274,90,70265,4367,9599,4125,4815,6722,2270,38367,0.4397,18149,55148,30905,30903,27390,3513,2,24243,"DeKalb County, Alabama",0,0,1012,179,368,9,8,1034,444,211,400,0,0,0,115,307,5,70,77,101,196,247,165,285,191,275,352,569,370,154,725,380,282,526,420,361,302,92,41,215,908,1553,771,903,1016,578,1922,0.0198,811,194,883,883,911,607,5,892
"G0100510","2009-2013",,,,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",79895,79895,60425,16365,296,561,0,997,1251,60,1191,79895,77743,2152,53571,297,0,0,13,0,40,8,61,223,218,945,1078,1544,1492,1285,13972,4305,3305,9331,4180,7237,3371,452,214,74264,4578,5352,2807,3103,4341,2059,52024,0.4083,23856,63423,37903,37405,34061,3344,498,25520,"Elmore County, Alabama",0,0,312,232,89,116,27,319,283,48,291,0,0,0,110,110,27,27,31,27,37,9,59,101,87,315,207,274,236,252,623,503,378,664,453,530,416,156,77,1000,908,770,497,823,830,598,1483,0.0111,709,212,1115,1126,1084,457,154,1107
"G0100530","2009-2013",,,,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",38169,38169,23832,12370,1337,109,15,113,393,85,308,38169,37413,756,26202,458,0,0,0,14,50,47,75,307,457,869,974,1253,1292,439,7550,2011,1471,4037,1839,2048,814,143,54,35706,4339,4748,2762,3121,3115,1383,16238,0.4777,16540,30638,14843,14666,12346,2320,177,15795,"Escambia County, Alabama",0,0,164,169,77,117,23,120,142,91,108,0,0,0,117,178,24,24,24,22,33,29,46,131,142,210,197,195,251,136,551,307,247,361,321,383,179,81,36,355,805,718,677,637,680,436,997,0.0195,749,125,612,558,548,353,171,613
"G0100550","2009-2013",,,,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",104260,104260,85307,15862,430,682,61,453,1465,141,1324,104260,100656,3604,71477,994,0,0,87,90,82,49,307,724,562,1401,1801,3127,2504,1298,18664,4721,5273,13435,5811,6839,2769,703,236,102586,7572,11935,6906,7422,8144,3322,57285,0.4436,20204,83365,44660,44525,39289,5236,135,38705,"Etowah County, Alabama",0,0,348,223,182,85,71,268,292,143,249,0,0,0,95,217,27,27,75,68,61,37,111,191,141,286,283,405,352,270,689,437,415,740,506,563,320,168,97,296,737,1295,1054,1183,931,661,1694,0.0093,528,230,878,872,922,514,119,930
"G0100570","2009-2013",,,,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",17110,17110,14813,1952,36,34,0,0,275,48,227,17110,16881,229,11974,302,0,0,0,0,32,24,34,108,137,544,479,427,501,421,3659,1018,736,1196,780,834,699,15,28,16857,1146,2203,949,1314,1758,822,8665,0.4581,18494,13839,6807,6805,6141,664,2,7032,"Fayette County, Alabama",0,0,62,102,40,38,18,18,114,60,102,0,0,0,114,110,18,18,18,18,27,28,27,59,61,186,108,118,128,143,394,184,133,219,187,180,183,15,34,79,281,450,297,430,388,292,579,0.0218,1173,88,397,397,370,157,4,402
"G0100590","2009-2013",,,,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",31666,31666,27962,1485,194,26,15,1733,251,67,184,31666,26900,4766,21058,385,0,0,76,155,201,43,134,618,228,783,793,966,936,465,5708,1274,1188,3277,1503,1615,554,137,19,31258,2707,4141,1829,1702,3525,1382,15972,0.4482,18888,24624,14054,14054,12648,1406,0,10570,"Franklin County, Alabama",0,0,673,179,79,25,23,673,158,88,128,0,0,0,159,147,24,24,93,118,153,52,107,224,111,171,200,211,192,141,536,179,162,452,266,281,131,60,28,155,813,682,670,484,993,616,1037,0.0198,845,141,454,454,481,325,24,446
"G0100610","2009-2013",,,,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",26791,26791,23304,2554,32,28,0,421,452,30,422,26791,25868,923,18779,359,8,0,0,8,99,50,39,339,348,498,765,789,618,366,5432,1741,1582,2460,1331,1417,479,48,3,26356,2507,3084,1931,1416,2749,1125,13544,0.4572,20199,21500,11994,11919,10795,1124,75,9506,"Geneva County, Alabama",0,0,189,268,25,41,21,309,85,35,73,0,0,0,94,110,12,21,21,12,57,39,34,107,134,104,171,156,131,116,420,244,235,295,246,240,146,32,6,188,550,569,401,347,549,394,765,0.0326,1394,102,402,410,441,211,65,420
"G0100630","2009-2013",,,,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",8934,8934,1583,7217,39,15,0,0,80,47,33,8934,8887,47,6015,59,0,0,0,20,13,27,53,79,36,115,283,276,322,149,2185,182,308,913,225,529,197,44,0,8891,1157,1766,1168,752,681,102,3265,0.4939,14930,7074,3492,3492,2652,840,0,3582,"Greene County, Alabama",0,0,16,118,41,24,16,16,107,85,53,0,85,85,48,39,16,16,16,21,19,39,47,60,23,53,199,122,126,88,266,77,99,172,96,157,89,45,16,39,444,370,430,388,253,77,527,0.0513,1956,50,225,225,256,237,16,219
"G0100650","2009-2013",,,,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",15594,15594,6207,9219,42,41,13,33,39,6,33,15594,15542,52,10492,114,0,0,15,6,0,22,55,153,116,251,386,500,500,258,3618,701,472,1367,619,941,350,37,11,15292,2104,1961,1379,1301,1450,135,6962,0.5143,18812,12198,6527,6518,5462,1056,9,5671,"Hale County, Alabama",0,0,12,115,43,60,21,47,39,9,37,0,52,52,65,57,18,18,20,11,18,24,37,81,82,91,115,156,146,94,331,154,130,204,144,171,107,25,17,101,427,343,326,304,353,72,570,0.0631,2385,74,312,307,313,179,21,328
